timestamp,driving_mode,driveSystem_actualSpeed,localization_Roll,driveSystem_hydraulicBrakePressure,localization_Pitch
2025-09-25 08:14:43.311072,1,1.20271815381,0.3465,0.0,0.0
2025-09-25 08:14:43.392131,1,1.20271815381,0.3465,0.0,0.0
2025-09-25 08:14:43.473833,1,1.20271815381,0.3465,0.0,0.0
2025-09-25 08:14:43.554304,1,1.12797295781,0.2695,0.0,0.0
2025-09-25 08:14:43.635503,1,1.12797295781,0.2695,0.0,0.0
2025-09-25 08:14:43.717785,1,1.31370344484,0.11,0.0,0.0
2025-09-25 08:14:43.798568,1,1.31370344484,0.11,0.0,0.0
2025-09-25 08:14:43.879857,1,1.31370344484,0.11,0.0,0.0
2025-09-25 08:14:43.960865,1,1.046432744,-0.0165,0.0,0.0
2025-09-25 08:14:44.042867,1,1.046432744,-0.0165,0.0,0.0
2025-09-25 08:14:44.125164,1,1.18912811818,-0.2035,0.0,0.0
2025-09-25 08:14:44.205917,1,1.18912811818,-0.2035,0.0,0.0
2025-09-25 08:14:44.287155,1,1.18912811818,-0.2035,0.0,0.0
2025-09-25 08:14:44.368133,1,1.06681779745,-0.2035,0.0,0.0
2025-09-25 08:14:44.449704,1,1.06681779745,-0.2035,0.0,0.0
2025-09-25 08:14:44.530621,1,1.03737272024,-0.55,0.0,0.0
2025-09-25 08:14:44.611429,1,1.03737272024,-0.55,0.0,0.0
2025-09-25 08:14:44.692254,1,1.03737272024,-0.55,0.0,0.0
2025-09-25 08:14:44.773081,1,1.05096275588,-0.6545,0.0,0.0
2025-09-25 08:14:44.853886,1,1.05096275588,-0.6545,0.0,0.0
2025-09-25 08:14:44.934732,1,0.577576514543,-0.715,0.0,0.0
2025-09-25 08:14:45.015618,1,0.577576514543,-0.715,0.0,0.0
2025-09-25 08:14:45.096602,1,0.577576514543,-0.715,0.0,0.0
2025-09-25 08:14:45.177732,1,0.874292292603,-0.8305,0.0,0.0
2025-09-25 08:14:45.259599,1,0.874292292603,-0.8305,0.0,0.0
2025-09-25 08:14:45.341699,1,0.867497274785,-1.0725,0.0,0.0
2025-09-25 08:14:45.423910,1,0.867497274785,-1.0725,0.0,0.0
2025-09-25 08:14:45.504544,1,0.867497274785,-1.0725,0.0,0.0
2025-09-25 08:14:45.585553,1,0.908267381694,-1.111,0.0,0.0
2025-09-25 08:14:45.666311,1,0.908267381694,-1.111,0.0,0.0
2025-09-25 08:14:45.747052,1,0.906002375754,-1.111,0.0,0.0
2025-09-25 08:14:45.827991,1,0.906002375754,-1.111,0.0,0.0
2025-09-25 08:14:45.910900,1,0.906002375754,-1.111,0.0,0.0
2025-09-25 08:14:45.992496,1,0.926387429209,-1.1495,0.0,0.0
2025-09-25 08:14:46.076344,1,0.926387429209,-1.1495,0.0,0.0
2025-09-25 08:14:46.158130,1,0.903737369815,-1.221,0.0,0.0
2025-09-25 08:14:46.239993,1,0.903737369815,-1.221,0.0,0.0
2025-09-25 08:14:46.320789,1,0.899207357936,-1.2925,0.0,0.0
2025-09-25 08:14:46.402731,1,0.899207357936,-1.2925,0.0,0.0
2025-09-25 08:14:46.483740,1,0.899207357936,-1.2925,0.0,0.0
2025-09-25 08:14:46.565068,1,0.962627524239,-1.298,0.0,0.0
2025-09-25 08:14:46.645597,1,0.962627524239,-1.298,0.0,0.0
2025-09-25 08:14:46.726299,1,0.939977464845,-1.4135,0.0,0.0
2025-09-25 08:14:46.807163,1,0.939977464845,-1.4135,0.0,0.0
2025-09-25 08:14:46.889183,1,0.939977464845,-1.4135,0.0,0.0
2025-09-25 08:14:46.970293,1,0.99660261333,-1.408,0.0,0.0
2025-09-25 08:14:47.050833,1,0.99660261333,-1.408,0.0,0.0
2025-09-25 08:14:47.132333,1,0.949037488603,-1.441,0.0,0.0
2025-09-25 08:14:47.213694,1,0.949037488603,-1.441,0.0,0.0
2025-09-25 08:14:47.295122,1,0.949037488603,-1.441,0.0,0.0
